name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Home in Albany · ★4.97 · 1 bedroom · 1 bed · 2 baths,Emilie,TENTH WARD,42.66137,-73.7904,Private room,73,1,137,30/11/2023,3.49,1,87,61
Home in Albany · ★4.98 · 2 bedrooms · 2 beds · 1 bath,Dan,NINTH WARD,42.65311,-73.78525,Entire home/apt,175,1,192,25/12/2023,5.41,1,284,56
Rental unit in Albany · ★4.90 · 2 bedrooms · 2 beds · 1 bath,Allen,THIRTEENTH WARD,42.66646,-73.79184,Entire home/apt,94,2,58,20/12/2023,1.62,8,356,21
Rental unit in Albany · ★4.43 · 1 bedroom · 1 bed · 1 bath,Terra,SIXTH WARD,42.65345,-73.76663,Entire home/apt,140,2,40,03/09/2023,1.13,10,361,13
Rental unit in Albany · ★4.88 · 1 bedroom · 1 bed · 1 bath,Allen,FOURTEENTH WARD,42.67156,-73.80883,Entire home/apt,88,3,41,02/01/2024,1.17,8,345,16
Home in Albany · ★4.96 · 1 bedroom · 1 bed · 1 private bath,Thomas,THIRTEENTH WARD,42.6692,-73.79849,Private room,107,1,113,19/12/2023,3.13,10,0,45
Rental unit in Albany · ★4.40 · 2 bedrooms · 3 beds · 1 bath,Dominick,THIRD WARD,42.656,-73.76123,Entire home/apt,171,4,15,07/09/2022,0.42,3,365,0
Rental unit in Albany · ★5.0 · 2 bedrooms · 2 beds · 2 baths,David,THIRTEENTH WARD,42.66744,-73.79216,Entire home/apt,125,14,7,01/01/2024,0.21,2,298,1
Rental unit in Albany · ★4.86 · 1 bedroom · 2 beds · 1 bath,Dillon,THIRD WARD,42.65118087,-73.75273894,Entire home/apt,96,1,124,01/01/2024,3.52,2,326,43
Home in Albany · ★4.76 · 3 bedrooms · 4 beds · 1 bath,Scott,TENTH WARD,42.66261,-73.78332,Entire home/apt,198,1,140,18/12/2023,3.97,5,341,30
Rental unit in Albany · ★4.89 · 2 bedrooms · 3 beds · 1 bath,Dillon,THIRD WARD,42.64981845,-73.75090228,Entire home/apt,117,1,163,04/01/2024,5.54,2,192,51
Home in Albany · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,Bela,NINTH WARD,42.65399,-73.78126,Private room,45,2,45,01/01/2024,1.3,8,344,18
Home in Albany · ★4.93 · 5 bedrooms · 5 beds · 5.5 baths,Peter,THIRTEENTH WARD,42.66526413,-73.78692627,Entire home/apt,595,2,29,03/12/2023,1.63,9,0,23
Rental unit in Albany · ★4.78 · 1 bedroom · 1 bed · 1 bath,Jerry,SIXTH WARD,42.65429,-73.75986,Entire home/apt,88,2,89,14/09/2023,3.03,6,347,22
Home in Albany · ★4.64 · 3 bedrooms · 3 beds · 1 bath,Mary,TWELFTH WARD,42.67763,-73.79168,Entire home/apt,125,2,14,28/08/2022,0.42,2,179,0
Boutique hotel in Albany · ★4.56 · Studio · 1 bed · 1 private bath,Terra,SIXTH WARD,42.65848,-73.77436,Private room,200,1,18,05/08/2023,0.58,10,104,2
Boutique hotel in Albany · ★4.20 · 1 bedroom · 1 bed · 1 private bath,Terra,SIXTH WARD,42.65933,-73.77275,Private room,200,1,5,30/10/2022,0.16,10,104,0
Rental unit in Albany · Studio · 1 bed · 0 shared baths,Nicola,FOURTH WARD,42.65854,-73.74926,Shared room,45,1,0,,,1,358,0
Condo in Albany · ★5.0 · 2 bedrooms · 3 beds · 1 bath,Jessica,THIRTEENTH WARD,42.66972,-73.79544,Entire home/apt,95,60,4,30/11/2022,0.14,2,358,0
Rental unit in Albany · ★4.99 · 1 bedroom · 1 bed · 1 bath,Todd,SIXTH WARD,42.65157,-73.76546,Entire home/apt,109,2,136,31/12/2023,4.66,1,203,56
Rental unit in Albany · ★4.87 · 1 bedroom · 2 beds · 1 bath,Linda,FOURTH WARD,42.65888,-73.74673,Entire home/apt,115,1,68,01/11/2023,2.17,15,0,17
Rental unit in Albany · ★4.97 · 1 bedroom · 2 beds · 1 bath,Jake & Kate,ELEVENTH WARD,42.66034,-73.77163,Entire home/apt,97,2,142,30/12/2023,5.78,1,243,70
Rental unit in Albany · ★4.56 · 2 bedrooms · 2 beds · 1 bath,Elizabeth,SIXTH WARD,42.65333,-73.76402,Entire home/apt,100,3,9,13/08/2023,0.29,8,336,5
Home in Albany · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,David Yisrael,FIFTEENTH WARD,42.67945,-73.81647,Private room,63,3,36,28/08/2023,1.3,3,125,6
Rental unit in Albany · ★4.62 · 1 bedroom · 1 bed · 1 bath,Linda,FOURTH WARD,42.65901,-73.74748,Entire home/apt,120,1,39,08/10/2023,1.31,15,348,11
Aparthotel in Albany · ★4.79 · 1 bedroom · 1 bed · 1 bath,Sonya,THIRD WARD,42.66064,-73.76074,Entire home/apt,74,1,201,30/11/2023,6.73,1,0,68
Rental unit in Albany · ★4.95 · 1 bedroom · 1 bed · 1 bath,Rosie,TENTH WARD,42.65969,-73.77564,Entire home/apt,93,7,21,31/03/2023,0.78,1,154,1
Rental unit in Albany · ★4.29 · 1 bedroom · 1 bed · 1 bath,All Seasons,THIRD WARD,42.65061,-73.75006,Entire home/apt,105,4,7,23/02/2023,0.25,1,180,1
Rental unit in Albany · ★4.64 · Studio · 1 bed · 1 bath,Jerry,SIXTH WARD,42.65431,-73.75997,Entire home/apt,85,365,42,10/09/2023,1.44,6,348,5
Rental unit in Albany · ★4.79 · 1 bedroom · 1 bed · 1 bath,Linda,FOURTH WARD,42.65856,-73.74866,Entire home/apt,115,1,63,01/10/2023,2.16,15,350,22
Rental unit in Albany · ★4.72 · 1 bedroom · 1 bed · 1 bath,David,THIRD WARD,42.65812,-73.74941,Entire home/apt,75,3,68,18/12/2023,2.49,3,356,26
Condo in Albany · ★4.50 · 1 bedroom · 1 bed · 1 bath,Jerry,SIXTH WARD,42.65269,-73.76076,Entire home/apt,88,2,32,12/11/2023,1.11,6,353,11
